variant,n_features,best_iteration,test_gini,oot_gini,lift_vs_champion,pct_of_full_lift
A. full challenger,35,334,0.3512648322791334,0.36071076344370523,0.0518143100634747,1.0
B. minus addr_state,34,366,0.3512755695524483,0.36117080806099544,0.05227435468076491,1.00887871741854
"C. minus addr_state, purpose",33,548,0.3443043689002776,0.3565550350877347,0.047658581707504144,0.9197957407735505
D. champion characteristics only,12,319,0.30865613611462095,0.3226110130070561,0.013714559626825551,0.2646867170483336
E. champion + loan_amnt,13,406,0.3260503196828839,0.3404472706198429,0.031550817239612394,0.6089209178113406
