split,model,gini,ks,brier,mean_pred,observed,cal_gap
train_fit,champion (scorecard),0.3208867208995396,0.2326119426135274,0.11027190536340513,0.1319954582196638,0.13191546469494309,-7.999352472071175e-05
train_fit,challenger (XGBoost),0.49117433144217304,0.361551655224123,0.10372135788202286,0.13195380568504333,0.13191546469494309,-3.8340990100249606e-05
val,champion (scorecard),0.3063778796004981,0.2199082203095486,0.11058490397904915,0.13146777813670957,0.13192105739634258,0.0004532792596330104
val,challenger (XGBoost),0.3359956526277639,0.24027049079448032,0.10991491377353668,0.13083405792713165,0.13192105739634258,0.0010869994692109253
test,champion (scorecard),0.3053114095439011,0.21964248218600219,0.11066031198079983,0.13206569960486203,0.13191715886334254,-0.00014854074151948726
test,challenger (XGBoost),0.35166994340079394,0.2550782168416335,0.10940465331077576,0.13177917897701263,0.13191715886334254,0.00013797988632990865
oot,champion (scorecard),0.32137122386299866,0.23381623487163306,0.12195944879503152,0.13087833851472605,0.14886264866125373,0.017984310146527682
oot,challenger (XGBoost),0.3609162227903817,0.26303716711359554,0.12045686691999435,0.13294653594493866,0.14886264866125373,0.015916112716315073
