period,n,psi,mean_score,mean_pd,pct_below_530,flag
dev 2013-14,262992,0.0,545.2817728295918,0.13196112264793,0.18975482143943542,stable
oot 2015,283026,0.0006422839269364248,545.6691894030937,0.13087833851472605,0.18669662857829317,stable
2016Q1,96120,0.006956696883740414,546.7554307116105,0.12736486468902378,0.17514565126924678,stable
2016Q2,74537,0.007210129581238079,546.8210284824986,0.1263360428607494,0.16509921247165837,stable
2016Q3,73898,0.00927016893149638,546.4585509756691,0.12657852715813733,0.15797450539933422,stable
2016Q4,78940,0.01683470049511593,547.2609070179883,0.12391860027085413,0.14863187230808209,stable
2017Q1,72410,0.03725874336667727,548.7331860240298,0.11947418096050819,0.134774202458224,stable
2017Q2,77105,0.03939387369393235,548.8661046624733,0.11921925793975124,0.1367745282407107,stable
2017Q3,88227,0.03604343360800592,548.7407709658041,0.11993787368417883,0.14024051594183187,stable
2017Q4,82677,0.09370510143467502,550.8470554083965,0.11286075745010256,0.11785623571247142,stable
