,dev 2013-14,oot 2015,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4
addr_state,0.0,0.015329827729568795,0.051105592248735815,0.044303890212153876,0.03617194896503041,0.040814836239761836,0.04082648232972977,0.038371843733069746,0.045777816284530544,0.0412072643895921
purpose,0.0,0.0013353699030963571,0.008040199554618434,0.04117680069406011,0.0450485159892607,0.03822260590607896,0.022995695583493805,0.046804845633720914,0.050162722891632594,0.0764334858731104
loan_amnt,0.0,0.003485412458839648,0.017305790785373344,0.011340815193118265,0.013651106031618314,0.015677599046234603,0.010288578561339226,0.017560026596506878,0.023981228611180867,0.02461714252711239
bc_limit_to_income,0.0,0.0034678164216579146,0.01343553333677251,0.004066681209406977,0.0001442218355226817,0.003539211962799241,0.02070817078197463,0.013086752052719332,0.01682813050947213,0.0544028159380988
num_actv_bc_tl,0.0,0.005709799763872646,0.009803365266631664,0.01437874444456264,0.011812841317833146,0.014484124702780805,0.00977473535059011,0.013577088846119993,0.020736356409407217,0.032287401385090946
