split,n,bad_rate,auc,gini,ks,ks_at_score,brier,mean_pred_pd
train,184094,0.13191630362749465,0.659351467836554,0.3187029356731079,0.2299480966387772,542.0,0.1103188566859415,0.13191630362749465
test,78898,0.13191715886334254,0.6526557047719506,0.3053114095439011,0.2182138356458171,543.0,0.11066031198079983,0.13206569960486203
oot,283026,0.14886264866125373,0.6606856119314993,0.32137122386299866,0.23370968455803182,541.0,0.12195944879503152,0.13087833851472605
