decline_rate,cutoff_score,n_declined,bad_rate_declined,bad_rate_approved,bad_rate_overall
0.05,518,13585,0.3090909090909091,0.14078406775509295,0.14886264866125373
0.1,523,26300,0.28577946768060836,0.13483636250321354,0.14886264866125373
0.15,527,40708,0.26987324358848386,0.1285335798413655,0.14886264866125373
0.2,530,54111,0.25865350852876495,0.12291025052967258,0.14886264866125373
0.25,533,69770,0.24714060484448905,0.11670949469182579,0.14886264866125373
0.3,535,81333,0.23971819556637528,0.1122250152459431,0.14886264866125373
0.4,540,112513,0.22156550798574387,0.10088966823643945,0.14886264866125373
